Epoch   1/50 | Train MSE: 8374.9044 | Val MSE: 6608.7061 | Val PHM: 7519718.0 | Elapsed: 7.0s
Epoch   5/50 | Train MSE: 847.6076 | Val MSE: 725.7914 | Val PHM: 132769.1 | Elapsed: 35.6s
Epoch  10/50 | Train MSE: 441.0351 | Val MSE: 253.4971 | Val PHM: 25657.4 | Elapsed: 70.8s
Epoch  15/50 | Train MSE: 343.8737 | Val MSE: 269.2188 | Val PHM: 15432.3 | Elapsed: 106.9s
Epoch  20/50 | Train MSE: 329.6920 | Val MSE: 206.2637 | Val PHM: 12657.2 | Elapsed: 141.7s
Epoch  25/50 | Train MSE: 304.8704 | Val MSE: 205.6706 | Val PHM: 12786.0 | Elapsed: 175.7s
Epoch  30/50 | Train MSE: 314.1794 | Val MSE: 190.6538 | Val PHM: 12387.0 | Elapsed: 210.4s
Epoch  35/50 | Train MSE: 307.6650 | Val MSE: 180.0332 | Val PHM: 13675.7 | Elapsed: 245.3s
Epoch  40/50 | Train MSE: 303.9511 | Val MSE: 196.2116 | Val PHM: 12468.6 | Elapsed: 279.1s
Epoch  45/50 | Train MSE: 280.6967 | Val MSE: 180.0381 | Val PHM: 12002.5 | Elapsed: 314.1s
Epoch  50/50 | Train MSE: 282.2373 | Val MSE: 213.2839 | Val PHM: 12508.1 | Elapsed: 349.6s
